anio,nivel,id_agrupacion,agrupacion,votos,share
2017,nacional,0546,FRENTE JUSTICIALISTA,22986,5.7253733722563735
2017,provincial,0518,CAMBIEMOS BUENOS AIRES,203085,48.35967395885671
2017,provincial,0574,UNIDAD CIUDADANA,116809,27.81517667705687
2017,provincial,0511,1PAIS,37562,8.944462039257335
2017,provincial,0503,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,26516,6.314130116419453
2017,provincial,0546,FRENTE JUSTICIALISTA,24095,5.737628796014735
2017,provincial,0301,PATRIA GRANDE,8290,1.974058631208224
2017,provincial,0567,IZQUIERDA AL FRENTE POR EL SOCIALISMO,3590,0.8548697811866737
2017,municipal,0518,CAMBIEMOS BUENOS AIRES,201813,48.10592155759706
2017,municipal,0574,UNIDAD CIUDADANA,114580,27.312296492641558
2017,municipal,0511,1PAIS,37689,8.983881502104797
2017,municipal,0503,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,26395,6.291744335165594
2017,municipal,0546,FRENTE JUSTICIALISTA,24958,5.949208377232919
2017,municipal,0812,VAMOS CREANDO CIUDAD NUEVA,10349,2.4668786559813882
2017,municipal,0567,IZQUIERDA AL FRENTE POR EL SOCIALISMO,3734,0.8900690792766937
2019,nacional,136,FRENTE DE TODOS,184952,44.2295367367827
2019,nacional,135,JUNTOS POR EL CAMBIO,179632,42.95730861575841
2019,nacional,137,CONSENSO FEDERAL,27800,6.648109354224658
2019,nacional,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,14271,3.4127758487100754
2019,nacional,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,6177,1.4771716360088387
2019,nacional,131,FRENTE NOS,5332,1.2750978085153193
2019,provincial,135,JUNTOS POR EL CAMBIO,191782,45.0026633376901
2019,provincial,02-503,FRENTE DE TODOS,190780,44.76753872399139
2019,provincial,137,CONSENSO FEDERAL,23091,5.418425603709431
2019,provincial,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15291,3.5881142395877577
2019,provincial,02-1911,FRENTE NOS,5213,1.2232580950213183
2019,municipal,135,JUNTOS POR EL CAMBIO,205365,48.72403828359661
2019,municipal,02-503,FRENTE DE TODOS,171830,40.76766488092131
2019,municipal,137,CONSENSO FEDERAL,21431,5.084629145452044
2019,municipal,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,17573,4.169296251832801
2019,municipal,02-1911,FRENTE NOS,5287,1.2543714381972355
2021,nacional,506,JUNTOS,178843,45.80761330047999
2021,nacional,507,FRENTE DE TODOS,127900,32.75942441768138
2021,nacional,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,29709,7.609458483384646
2021,nacional,503,AVANZA LIBERTAD,26727,6.845669557555671
2021,nacional,508,FRENTE VAMOS CON VOS,17279,4.425723960227651
2021,nacional,501,+ VALORES,9964,2.552110280670659
2021,provincial,506,JUNTOS,183600,46.205185248566785
2021,provincial,507,FRENTE DE TODOS,137241,34.53837597330367
2021,provincial,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31109,7.828960282667016
2021,provincial,503,AVANZA LIBERTAD,27780,6.991176722250464
2021,provincial,508,FRENTE VAMOS CON VOS,17628,4.436301773212066
2021,municipal,506,JUNTOS,183044,46.07465320167037
2021,municipal,507,FRENTE DE TODOS,137164,34.526035990001944
2021,municipal,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31451,7.916642544119091
2021,municipal,503,AVANZA LIBERTAD,27798,6.997132982780277
2021,municipal,508,FRENTE VAMOS CON VOS,17820,4.485535281428323
2023,nacional,134,UNION POR LA PATRIA,171174,39.90935097818408
2023,nacional,132,JUNTOS POR EL CAMBIO,129295,30.145229618542015
2023,nacional,135,LA LIBERTAD AVANZA,97324,22.691166150237695
2023,nacional,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,16797,3.9162335890997353
2023,nacional,133,HACEMOS POR NUESTRO PAIS,14317,3.3380196639364708
2023,provincial,20134,UNION POR LA PATRIA,181231,42.28461168740871
2023,provincial,20132,JUNTOS POR EL CAMBIO,140137,32.69660614375242
2023,provincial,20135,LA LIBERTAD AVANZA,88716,20.699116654767405
2023,provincial,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,18514,4.319665514071461
2023,municipal,20134,UNION POR LA PATRIA,162268,38.33757421543681
2023,municipal,20132,JUNTOS POR EL CAMBIO,161412,38.13533493518184
2023,municipal,20135,LA LIBERTAD AVANZA,78189,18.472998929738388
2023,municipal,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,21392,5.054091919642962
2025,nacional,110,ALIANZA LA LIBERTAD AVANZA,173880,44.146433730840805
2025,nacional,248,ALIANZA FUERZA PATRIA,153163,38.88658977177807
2025,nacional,372,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,21472,5.451531085050689
2025,nacional,259,ALIANZA PROVINCIAS UNIDAS,12296,3.1218343061560767
2025,nacional,258,PROPUESTA FEDERAL PARA EL CAMBIO,9361,2.376666472017488
2025,nacional,252,PARTIDO NUEVO BUENOS AIRES,4192,1.0643078571410436
2025,nacional,316,COALICIÓN CÍVICA - A.R.I.,4054,1.0292710049737097
2025,nacional,11,FRENTE PATRIOTA FEDERAL,3250,0.8251432575640248
2025,nacional,260,ALIANZA POTENCIA,3031,0.7695412965158643
2025,nacional,265,MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,2243,0.5694757928357254
2025,nacional,263,MOVIMIENTO AVANZADA SOCIALISTA,1824,0.46309578516824035
2025,nacional,315,UNIÓN LIBERAL,1634,0.41485664087988194
2025,nacional,317,ALIANZA UNIÓN FEDERAL,1622,0.41180995808272247
2025,nacional,262,ALIANZA NUEVOS AIRES,1265,0.3211711448672281
2025,nacional,253,LIBER.AR,584,0.14827189612842784
